,number_of_qubits,qft_variant,process_fidelity
440,46,QCTRLFowlerQFT,0.0003342996608169738
441,46,QCTRLFowlerQFT,0.0003944143069002175
442,46,QCTRLFowlerQFT,0.0001936616221014697
443,46,QCTRLFowlerQFT,6.421155020253608e-05
444,46,QCTRLFowlerQFT,0.00021035825522262432
445,46,QCTRLFowlerQFT,0.0001002680102045184
446,46,QCTRLFowlerQFT,0.00011760019573626847
447,46,QCTRLFowlerQFT,0.00048721676627127506
448,46,QCTRLFowlerQFT,0.0006220937018896389
449,46,QCTRLFowlerQFT,0.0003292449013222643
450,46,QCTRLFowlerQFT,0.00017443447012612502
451,46,QCTRLFowlerQFT,0.0002589716223608563
452,46,QCTRLFowlerQFT,7.819129285616134e-05
453,46,QCTRLFowlerQFT,0.0001079346892325047
454,46,QCTRLFowlerQFT,0.00020416075338662644
455,46,QCTRLFowlerQFT,0.00025522097894423764
456,46,QCTRLFowlerQFT,0.0002220792721055207
457,46,QCTRLFowlerQFT,0.00026451726346624505
458,46,QCTRLFowlerQFT,0.00023805961620478497
459,46,QCTRLFowlerQFT,0.00031928893795069133
460,48,QCTRLFowlerQFT,0.00016492269821332905
461,48,QCTRLFowlerQFT,0.00011603424182951783
462,48,QCTRLFowlerQFT,0.00021415142770198566
463,48,QCTRLFowlerQFT,0.0001484013438485203
464,48,QCTRLFowlerQFT,0.00011380779437957108
465,48,QCTRLFowlerQFT,0.0002475409974944976
466,48,QCTRLFowlerQFT,0.0003120406255000106
467,48,QCTRLFowlerQFT,0.00020653197180697173
468,48,QCTRLFowlerQFT,0.00015027731701065155
469,48,QCTRLFowlerQFT,0.0003838870977515675
470,48,QCTRLFowlerQFT,0.00016440912207319312
471,48,QCTRLFowlerQFT,0.00012340279174986423
472,48,QCTRLFowlerQFT,0.00017916965413287676
473,48,QCTRLFowlerQFT,0.00011966346956323508
474,48,QCTRLFowlerQFT,0.00024217630617103122
475,48,QCTRLFowlerQFT,0.00021275529628345233
476,48,QCTRLFowlerQFT,0.00014501541323996218
477,48,QCTRLFowlerQFT,0.00011434114902521718
478,48,QCTRLFowlerQFT,0.00032644831595133336
479,48,QCTRLFowlerQFT,5.4588901829557124e-05
480,50,QCTRLFowlerQFT,2.631906144707703e-06
481,50,QCTRLFowlerQFT,0.0
482,50,QCTRLFowlerQFT,0.0
483,50,QCTRLFowlerQFT,2.631906144707703e-06
484,50,QCTRLFowlerQFT,2.631578947368421e-06
485,50,QCTRLFowlerQFT,0.0
486,50,QCTRLFowlerQFT,2.6322333827290643e-06
487,50,QCTRLFowlerQFT,7.89604567214447e-06
488,50,QCTRLFowlerQFT,0.0
489,50,QCTRLFowlerQFT,2.631906144707703e-06
490,50,QCTRLFowlerQFT,7.896700148187193e-06
491,50,QCTRLFowlerQFT,7.89604567214447e-06
492,50,QCTRLFowlerQFT,2.6322333827290643e-06
493,50,QCTRLFowlerQFT,0.0
494,50,QCTRLFowlerQFT,2.6322333827290643e-06
495,50,QCTRLFowlerQFT,0.0
496,50,QCTRLFowlerQFT,7.895391236783826e-06
497,50,QCTRLFowlerQFT,1.579045527622837e-05
